IterTime,Bandwidth
0.011522,62488.854678
0.011533,62429.431294
0.011550,62337.934109
0.011550,62337.934109
0.011559,62289.073883
0.011537,62407.499070
0.011564,62262.105024
0.011544,62370.120820
0.011577,62191.582849
0.011553,62321.210145
0.011545,62364.968713
0.011569,62235.159509
0.011563,62267.240149
0.011560,62283.935157
0.011552,62326.355024
0.011571,62224.900684
0.011563,62267.240149
0.011549,62343.081751
0.011523,62483.682936
0.011553,62321.210145
0.011546,62359.817457
0.011569,62235.159509
0.011567,62245.421717
0.011544,62370.120820
0.011557,62299.353880
0.011554,62316.066115
0.011562,62273.660247
0.011544,62370.120820
0.011565,62256.970746
0.011544,62370.120820
0.011564,62262.105024
0.011551,62332.787318
0.011555,62310.922934
0.011576,62197.987354
0.011560,62283.935157
0.011555,62310.922934
0.011533,62429.431294
0.011591,62116.109180
0.011549,62343.081751
0.011555,62310.922934
0.011547,62353.379584
0.011534,62424.269384
0.011550,62337.934109
0.011547,62353.379584
0.011560,62283.935157
0.011540,62392.026776
0.011532,62434.594058
0.011538,62402.340786
0.011546,62359.817457
0.011540,62390.737764
0.011557,62300.639119
0.011558,62294.213458
0.011542,62380.427589
0.011539,62397.183355
0.011545,62364.968713
0.011570,62230.029674
0.011545,62363.680819
0.011548,62349.517498
0.011528,62456.545334
0.011551,62331.500753
0.011543,62375.273779
0.011574,62208.237306
0.011551,62332.787318
0.011535,62417.818197
0.011554,62316.066115
0.011542,62381.716174
0.011540,62392.026776
0.011531,62439.757676
0.011557,62300.639119
0.011535,62417.818197
0.011553,62321.210145
0.011519,62505.668750
0.011567,62246.704730
0.011569,62235.159509
0.011533,62430.721905
0.011548,62348.230242
0.011548,62348.230242
0.011551,62331.500753
0.011558,62294.213458
0.011554,62316.066115
0.011542,62381.716174
0.011577,62191.582849
0.011559,62289.073883
0.011576,62196.706348
0.011546,62359.817457
0.011550,62337.934109
0.011575,62203.111908
0.011537,62407.499070
0.011535,62417.818197
0.011543,62376.562151
0.011553,62321.210145
0.011560,62283.935157
0.011551,62332.787318
0.011531,62439.757676
0.011586,62144.230476
0.011552,62327.641377
0.011529,62451.378940
0.011543,62375.273779
0.011540,62392.026776
0.011567,62246.704730
0.011564,62262.105024
0.011558,62294.213458
0.011564,62262.105024
0.011570,62230.029674
0.011549,62343.081751
0.011546,62358.529776
0.011564,62262.105024
0.011543,62375.273779
0.011544,62370.120820
0.011551,62331.500753
0.011543,62375.273779
0.011537,62408.788774
0.011528,62456.545334
0.011539,62397.183355
0.011564,62262.105024
0.011553,62322.496285
0.011521,62494.027275
0.011589,62127.610270
0.011563,62267.240149
0.011569,62235.159509
0.011555,62310.922934
0.011549,62343.081751
0.011554,62316.066115
0.011558,62294.213458
0.011577,62191.582849
0.011543,62376.562151
0.011548,62348.230242
0.011546,62358.529776
0.011554,62316.066115
0.011565,62256.970746
0.011554,62316.066115
0.011569,62235.159509
0.011555,62310.922934
0.011543,62375.273779
0.011535,62419.108328
0.011540,62392.026776
0.011596,62090.566441
0.011556,62304.495152
0.011568,62241.572992
0.011584,62154.462716
0.011558,62294.213458
0.011540,62392.026776
0.011541,62385.582251
0.011538,62402.340786
0.011560,62283.935157
0.011572,62219.772540
0.011546,62358.529776
0.011546,62358.529776
0.011549,62343.081751
0.011560,62283.935157
0.011563,62268.524063
0.011588,62132.723233
0.011530,62446.213400
0.011562,62272.376121
0.011568,62240.290190
0.011538,62403.630277
0.011545,62363.680819
0.011539,62397.183355
0.011542,62380.427589
0.011554,62316.066115
0.011548,62349.517498
0.011549,62343.081751
0.011558,62295.498484
0.011545,62364.968713
0.011559,62289.073883
0.011566,62251.837315
0.011533,62429.431294
0.011557,62299.353880
0.011558,62294.213458
0.011591,62117.386869
0.011543,62375.273779
0.011562,62273.660247
0.011532,62434.594058
0.011558,62294.213458
0.011553,62321.210145
0.011559,62289.073883
0.011570,62230.029674
0.011553,62321.210145
0.011559,62289.073883
0.011537,62407.499070
0.011568,62241.572992
0.011531,62439.757676
0.011546,62358.529776
0.011559,62289.073883
0.011545,62364.968713
0.011558,62294.213458
0.011560,62283.935157
0.011568,62240.290190
0.011536,62413.948124
0.011556,62304.495152
0.011562,62273.660247
0.011574,62209.518787
0.011567,62246.704730
0.011534,62424.269384
0.011561,62277.512941
0.011553,62321.210145
0.011546,62359.817457
0.011542,62380.427589
0.011556,62305.780602
0.011558,62294.213458
0.011559,62289.073883
0.011573,62213.363548
0.011577,62191.582849
0.011567,62246.704730
0.011559,62289.073883
0.011554,62316.066115
0.011551,62331.500753
0.011575,62203.111908
0.011533,62429.431294
0.011566,62251.837315
0.011561,62278.797278
0.011534,62422.979040
0.011560,62283.935157
0.011547,62353.379584
0.011553,62322.496285
0.011531,62439.757676
0.011559,62289.073883
0.011543,62375.273779
0.011545,62364.968713
0.011565,62256.970746
0.011553,62321.210145
0.011574,62208.237306
0.011540,62390.737764
0.011564,62263.388726
0.011520,62499.200728
0.011552,62327.641377
0.011525,62472.049648
0.011548,62348.230242
0.011552,62327.641377
0.011548,62349.517498
0.011560,62282.650607
0.011565,62256.970746
0.011550,62337.934109
0.011521,62494.027275
0.011556,62305.780602
0.011534,62424.269384
0.011569,62235.159509
0.011551,62331.500753
0.011544,62370.120820
0.011564,62262.105024
0.011521,62495.320558
0.011543,62376.562151
0.011528,62456.545334
0.011566,62251.837315
0.011544,62370.120820
0.011541,62385.582251
0.011547,62354.667052
0.011586,62142.951683
0.011548,62348.230242
0.011537,62408.788774
0.011558,62294.213458
0.011540,62390.737764
0.011564,62262.105024
0.011547,62354.667052
0.011565,62256.970746
0.011611,62010.243943
0.011545,62364.968713
0.011545,62364.968713
0.011582,62164.698326
0.011560,62283.935157
0.011549,62343.081751
0.011540,62392.026776
0.011571,62223.618569
0.011538,62402.340786
0.011541,62386.871049
0.011538,62402.340786
0.011612,62003.878041
0.011535,62419.108328
0.011549,62343.081751
0.011583,62159.580100
0.011567,62246.704730
0.011550,62336.647332
0.011536,62413.948124
0.011550,62337.934109
0.011557,62300.639119
0.011533,62429.431294
0.011548,62348.230242
0.011557,62299.353880
0.011539,62397.183355
0.011560,62283.935157
0.011567,62245.421717
0.011552,62327.641377
0.011552,62326.355024
0.011552,62326.355024
0.011572,62219.772540
0.011552,62326.355024
0.011565,62256.970746
0.011571,62224.900684
0.011554,62316.066115
0.011539,62395.894130
0.011549,62343.081751
0.011574,62209.518787
0.011559,62289.073883
0.011585,62149.346175
0.011562,62273.660247
0.011579,62181.338385
0.011558,62294.213458
0.011573,62213.363548
0.011539,62397.183355
0.011540,62390.737764
0.011541,62386.871049
0.011570,62230.029674
0.011542,62380.427589
0.011534,62424.269384
0.011553,62321.210145
0.011532,62434.594058
0.011552,62326.355024
0.011541,62386.871049
0.011567,62246.704730
0.011540,62392.026776
0.011552,62326.355024
0.011544,62370.120820
0.011551,62331.500753
0.011564,62262.105024
0.011567,62246.704730
0.011569,62235.159509
0.011613,61998.786261
0.011568,62241.572992
0.011540,62390.737764
0.011559,62289.073883
0.011562,62273.660247
0.011516,62521.197466
0.011585,62149.346175
0.011542,62380.427589
0.011565,62256.970746
0.011565,62256.970746
0.011556,62304.495152
0.011532,62435.884883
0.011528,62456.545334
0.011546,62359.817457
0.011556,62305.780602
0.011568,62240.290190
0.011533,62429.431294
0.011547,62353.379584
0.011559,62289.073883
0.011545,62364.968713
0.011533,62429.431294
0.011566,62250.554090
0.011546,62359.817457
0.011589,62127.610270
0.011549,62343.081751
0.011539,62397.183355
0.011562,62272.376121
0.011560,62283.935157
0.011557,62300.639119
0.011545,62363.680819
0.011547,62354.667052
0.011518,62510.844132
0.011543,62375.273779
0.011549,62343.081751
0.011569,62235.159509
0.011542,62380.427589
0.011547,62353.379584
0.011543,62376.562151
0.011562,62272.376121
0.011574,62208.237306
0.011543,62375.273779
0.011554,62316.066115
0.011540,62392.026776
0.011551,62331.500753
0.011556,62305.780602
0.011543,62375.273779
0.011566,62251.837315
0.011543,62375.273779
0.011564,62262.105024
0.011553,62321.210145
0.011555,62310.922934
0.011546,62359.817457
0.011553,62321.210145
0.011549,62343.081751
0.011545,62363.680819
0.011545,62364.968713
0.011534,62424.269384
0.011563,62267.240149
0.011547,62354.667052
0.011552,62326.355024
0.011537,62407.499070
0.011577,62192.863645
0.011557,62299.353880
0.011574,62208.237306
0.011556,62305.780602
0.011551,62331.500753
0.011572,62219.772540
0.011562,62272.376121
0.011581,62171.097295
0.011525,62472.049648
0.011553,62321.210145
0.011563,62267.240149
0.011533,62430.721905
0.011572,62219.772540
0.011561,62278.797278
0.011558,62294.213458
0.011568,62240.290190
0.011557,62300.639119
0.011529,62451.378940
0.011556,62305.780602
0.011549,62343.081751
0.011554,62316.066115
0.011583,62159.580100
0.011532,62434.594058
0.011544,62370.120820
0.011549,62343.081751
0.011571,62224.900684
0.011541,62386.871049
0.011554,62316.066115
0.011539,62397.183355
0.011553,62322.496285
0.011536,62412.658207
0.011559,62289.073883
0.011556,62305.780602
0.011536,62412.658207
0.011556,62305.780602
0.011549,62343.081751
0.011563,62267.240149
0.011573,62213.363548
0.011537,62407.499070
0.011564,62262.105024
0.011530,62446.213400
0.011565,62256.970746
0.011560,62283.935157
0.011534,62424.269384
0.011531,62439.757676
0.011560,62283.935157
0.011541,62386.871049
0.011547,62353.379584
0.011546,62358.529776
0.011562,62273.660247
0.011536,62412.658207
0.011548,62348.230242
0.011549,62343.081751
0.011555,62310.922934
0.011550,62337.934109
0.011550,62336.647332
0.011562,62273.660247
0.011538,62402.340786
0.011607,62030.623614
0.011562,62273.660247
0.011532,62434.594058
0.011545,62363.680819
0.011534,62424.269384
0.011552,62326.355024
0.011606,62036.995008
0.011593,62107.166831
0.011528,62457.837066
0.011557,62299.353880
0.011563,62267.240149
0.011546,62359.817457
0.011551,62331.500753
0.011532,62434.594058
0.011560,62283.935157
0.011547,62354.667052
0.011554,62316.066115
0.011549,62343.081751
0.011533,62429.431294
0.011569,62235.159509
0.011553,62321.210145
0.011553,62321.210145
0.011535,62419.108328
0.011569,62235.159509
0.011558,62294.213458
0.011552,62326.355024
0.011560,62283.935157
0.011568,62240.290190
0.011579,62181.338385
0.011543,62376.562151
0.011577,62191.582849
0.011539,62397.183355
0.011548,62348.230242
0.011540,62390.737764
0.011561,62278.797278
0.011570,62230.029674
0.011537,62407.499070
0.011544,62370.120820
0.011549,62343.081751
0.011549,62343.081751
0.011539,62397.183355
0.011566,62251.837315
0.011537,62408.788774
0.011572,62218.490636
0.011540,62392.026776
0.011542,62380.427589
0.011574,62208.237306
0.011570,62230.029674
0.011539,62397.183355
0.011541,62385.582251
0.011560,62283.935157
0.011538,62402.340786
0.011539,62397.183355
0.011554,62316.066115
0.011547,62354.667052
0.011570,62230.029674
0.011537,62408.788774
0.011539,62397.183355
0.011550,62336.647332
0.011623,61946.643692
0.011562,62272.376121
0.011554,62316.066115
0.011566,62251.837315
0.011564,62262.105024
0.011583,62160.859578
0.011558,62295.498484
0.011525,62473.342022
0.011535,62419.108328
0.011593,62105.889563
0.011531,62441.048714
0.011550,62336.647332
0.011551,62332.787318
0.011554,62316.066115
0.011594,62100.781015
0.011564,62262.105024
0.011571,62224.900684
0.011556,62304.495152
0.011557,62300.639119
0.011546,62358.529776
0.011541,62386.871049
0.011538,62402.340786
0.011549,62343.081751
0.011572,62218.490636
0.011533,62429.431294
0.011571,62224.900684
0.011541,62386.871049
0.011550,62336.647332
0.011542,62381.716174
0.011555,62309.637271
0.011527,62463.004530
0.011551,62332.787318
0.011590,62122.498149
0.011548,62348.230242
0.011559,62289.073883
0.011526,62466.880688
0.011557,62300.639119
0.011536,62412.658207
0.011560,62283.935157
0.011556,62305.780602
0.011566,62250.554090
0.011548,62348.230242
0.011547,62354.667052
0.011565,62255.687309
0.011537,62408.788774
0.011552,62326.355024
0.011534,62424.269384
0.011550,62337.934109
0.011521,62495.320558
0.011562,62272.376121
0.011523,62483.682936
0.011551,62332.787318
0.011536,62412.658207
0.011537,62408.788774
0.011559,62289.073883
0.011560,62283.935157
0.011521,62494.027275
0.011566,62250.554090
0.011575,62203.111908
0.011559,62289.073883
0.011546,62359.817457
0.011547,62353.379584
0.011537,62407.499070
0.011574,62208.237306
0.011526,62468.172848
0.011546,62358.529776
0.011550,62337.934109
0.011567,62245.421717
0.011530,62446.213400
0.011532,62434.594058
0.011541,62386.871049
0.011555,62310.922934
0.011536,62412.658207
0.011545,62364.968713
0.011540,62392.026776
0.011563,62268.524063
0.011558,62294.213458
0.011532,62434.594058
0.011545,62364.968713
0.011537,62407.499070
0.011558,62294.213458
0.011535,62419.108328
0.011553,62321.210145
0.011561,62277.512941
0.011550,62337.934109
0.011553,62321.210145
0.011537,62408.788774
0.011563,62267.240149
0.011527,62461.712584
0.011529,62451.378940
0.011558,62294.213458
0.011543,62375.273779
0.011540,62392.026776
0.011553,62321.210145
0.011561,62278.797278
0.011548,62348.230242
0.011567,62245.421717
0.011554,62316.066115
0.011572,62219.772540
0.011545,62364.968713
0.011542,62380.427589
0.011558,62294.213458
0.011556,62305.780602
0.011564,62262.105024
0.011544,62370.120820
0.011546,62359.817457
0.011527,62461.712584
0.011587,62139.115620
0.011552,62326.355024
0.011556,62305.780602
0.011566,62251.837315
0.011542,62380.427589
0.011548,62348.230242
0.011533,62430.721905
0.011570,62230.029674
0.011528,62456.545334
0.011540,62392.026776
0.011531,62441.048714
0.011580,62174.937308
0.011532,62435.884883
0.011557,62299.353880
0.011541,62386.871049
0.011558,62294.213458
0.011531,62439.757676
0.011525,62473.342022
0.011546,62358.529776
0.011583,62160.859578
0.011539,62397.183355
0.011550,62337.934109
0.011557,62299.353880
0.011536,62413.948124
0.011545,62363.680819
0.011530,62446.213400
0.011569,62235.159509
0.011570,62230.029674
0.011538,62402.340786
0.011565,62256.970746
0.011540,62390.737764
0.011543,62376.562151
0.011543,62375.273779
0.011553,62321.210145
0.011531,62439.757676
0.011555,62310.922934
0.011583,62159.580100
0.011558,62295.498484
0.011582,62165.978015
0.011526,62468.172848
0.011569,62235.159509
0.011551,62332.787318
0.011567,62246.704730
0.011514,62531.554230
0.011549,62343.081751
0.011542,62381.716174
0.011552,62326.355024
0.011558,62294.213458
0.011548,62348.230242
0.011569,62235.159509
0.011561,62278.797278
0.011551,62331.500753
0.011521,62495.320558
0.011562,62272.376121
0.011557,62300.639119
0.011550,62336.647332
0.011565,62256.970746
0.011547,62354.667052
0.011556,62304.495152
0.011525,62473.342022
0.011564,62262.105024
0.011535,62419.108328
0.011562,62273.660247
0.011551,62331.500753
0.011560,62283.935157
0.011579,62181.338385
0.011545,62364.968713
0.011563,62267.240149
0.011553,62321.210145
0.011546,62359.817457
0.011603,62053.566761
0.011562,62272.376121
0.011537,62407.499070
0.011570,62230.029674
0.011541,62386.871049
0.011540,62392.026776
0.011555,62310.922934
0.011542,62380.427589
0.011558,62294.213458
0.011532,62434.594058
0.011564,62262.105024
0.011529,62451.378940
0.011551,62332.787318
0.011543,62375.273779
0.011539,62397.183355
0.011548,62348.230242
0.011563,62267.240149
0.011553,62321.210145
0.011547,62354.667052
0.011557,62299.353880
0.011530,62446.213400
0.011552,62326.355024
0.011551,62332.787318
0.011583,62159.580100
0.011549,62343.081751
0.011519,62505.668750
0.011552,62326.355024
0.011541,62386.871049
0.011554,62316.066115
0.011544,62370.120820
0.011600,62068.871624
0.011541,62385.582251
0.011543,62375.273779
0.011552,62327.641377
0.011536,62412.658207
0.011556,62305.780602
0.011554,62316.066115
0.011557,62300.639119
0.011545,62363.680819
0.011551,62332.787318
0.011567,62245.421717
0.011568,62241.572992
0.011567,62246.704730
0.011555,62310.922934
0.011540,62392.026776
0.011541,62385.582251
0.011547,62353.379584
0.011549,62343.081751
0.011552,62326.355024
0.011532,62435.884883
0.011550,62336.647332
0.011543,62375.273779
0.011553,62322.496285
0.011575,62203.111908
0.011532,62435.884883
0.011590,62122.498149
0.011556,62305.780602
0.011570,62230.029674
0.011556,62305.780602
0.011578,62187.740780
0.011582,62164.698326
0.011550,62337.934109
0.011544,62370.120820
0.011535,62419.108328
0.011562,62273.660247
0.011529,62451.378940
0.011554,62316.066115
0.011566,62250.554090
0.011545,62364.968713
0.011541,62386.871049
0.011583,62159.580100
0.011564,62262.105024
0.011545,62364.968713
0.011567,62245.421717
0.011547,62354.667052
0.011555,62309.637271
0.011549,62343.081751
0.011580,62176.217418
0.011534,62424.269384
0.011577,62192.863645
0.011552,62326.355024
0.011542,62380.427589
0.011553,62322.496285
0.011540,62390.737764
0.011555,62310.922934
0.011561,62278.797278
0.011565,62256.970746
0.011528,62456.545334
0.011563,62267.240149
0.011573,62213.363548
0.011525,62473.342022
0.011554,62316.066115
0.011545,62364.968713
0.011547,62353.379584
0.011528,62456.545334
0.011565,62256.970746
0.011531,62439.757676
0.011562,62272.376121
0.011530,62446.213400
0.011551,62331.500753
0.011550,62337.934109
0.011553,62321.210145
0.011573,62214.645241
0.011532,62434.594058
